Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:20:17,08-01-2024 16:20:18,1.780s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:20:18,08-01-2024 16:20:19,1.029s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""Calendar"")",Chrome 120.0.0.0,,,08-01-2024 16:20:19,08-01-2024 16:20:20,0.753s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_No auto-budgetSet a fixed amount eve_005aeb""), ""1"", true)",Chrome 120.0.0.0,,,08-01-2024 16:20:20,08-01-2024 16:20:21,0.857s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_auto_budget_amount""), ""-15"")",Chrome 120.0.0.0,,,08-01-2024 16:20:21,08-01-2024 16:20:22,0.780s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_DailyWeeklyMonthlyQuarterlyEvery hal_69941c""), ""daily"", true)",Chrome 120.0.0.0,,,08-01-2024 16:20:22,08-01-2024 16:20:23,0.832s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:20:23,08-01-2024 16:20:24,1.057s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with Special Name,Chrome 120.0.0.0,,,08-01-2024 16:21:08,08-01-2024 16:21:18,9.840s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:21:08,08-01-2024 16:21:09,0.782s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:21:09,08-01-2024 16:21:10,1.061s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:21:10,08-01-2024 16:21:12,1.944s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:21:12,08-01-2024 16:21:15,2.568s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:15,08-01-2024 16:21:16,1.079s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""!~@(*^*!@($$!(*@~!@_&)~+@"")",Chrome 120.0.0.0,,,08-01-2024 16:21:16,08-01-2024 16:21:17,0.769s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:17,08-01-2024 16:21:18,1.108s,PASSED
"verifyElementInViewport(findTestObject(""Create New Budget/Page_Create a new budget  Budgets  Firefly III/p_The name may not be greater than 255 characters""), 0)",Chrome 120.0.0.0,,,08-01-2024 16:21:18,08-01-2024 16:21:18,0.510s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with String Value Amount,Chrome 120.0.0.0,,,08-01-2024 16:21:18,08-01-2024 16:21:30,11.334s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:21:18,08-01-2024 16:21:19,0.835s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:21:19,08-01-2024 16:21:20,0.912s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:21:20,08-01-2024 16:21:22,2.400s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:21:22,08-01-2024 16:21:25,2.236s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:25,08-01-2024 16:21:26,1.373s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""Courses"")",Chrome 120.0.0.0,,,08-01-2024 16:21:26,08-01-2024 16:21:27,0.777s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_No auto-budgetSet a fixed amount eve_005aeb""), ""1"", true)",Chrome 120.0.0.0,,,08-01-2024 16:21:27,08-01-2024 16:21:28,0.833s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_auto_budget_amount""), ""Hello world"")",Chrome 120.0.0.0,,,08-01-2024 16:21:28,08-01-2024 16:21:29,0.790s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/select_DailyWeeklyMonthlyQuarterlyEvery hal_69941c""), ""daily"", true)",Chrome 120.0.0.0,,,08-01-2024 16:21:29,08-01-2024 16:21:29,0.822s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:29,08-01-2024 16:21:30,0.310s,PASSED
,,,,,,,
Test Cases/Create New Budget/Create New Budget with Too Long Name,Chrome 120.0.0.0,,,08-01-2024 16:21:30,08-01-2024 16:21:39,9.180s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:21:30,08-01-2024 16:21:30,0.749s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:21:30,08-01-2024 16:21:31,0.915s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:21:31,08-01-2024 16:21:33,1.599s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:21:33,08-01-2024 16:21:35,2.400s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:35,08-01-2024 16:21:36,1.014s,PASSED
"setText(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/input_name""), ""Morbi eleifend odio eu risus tristique ultricies. Nulla facilisi. Curabitur a velit quis ex luctus ullamcorper. Donec porta lectus ac velit varius, ac consequat orci dapibus. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per volutpat. "")",Chrome 120.0.0.0,,,08-01-2024 16:21:36,08-01-2024 16:21:37,0.932s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:37,08-01-2024 16:21:38,1.014s,PASSED
"verifyElementInViewport(findTestObject(""Create New Budget/Page_Create a new budget  Budgets  Firefly III/p_The name may not be greater than 255 characters""), 0)",Chrome 120.0.0.0,,,08-01-2024 16:21:38,08-01-2024 16:21:39,0.515s,PASSED
,,,,,,,
Test Cases/Create New Budget/Validate Checkbox Return Here,Chrome 120.0.0.0,,,08-01-2024 16:21:39,08-01-2024 16:21:47,8.380s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,08-01-2024 16:21:39,08-01-2024 16:21:40,0.746s,PASSED
"navigateToUrl(""https://demo.firefly-iii.org/login"")",Chrome 120.0.0.0,,,08-01-2024 16:21:40,08-01-2024 16:21:40,0.915s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Login to Firefly III/button_Sign in""))",Chrome 120.0.0.0,,,08-01-2024 16:21:40,08-01-2024 16:21:42,1.460s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Whats playing  Firefly III/a_Budgets""))",Chrome 120.0.0.0,,,08-01-2024 16:21:42,08-01-2024 16:21:44,2.451s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Budgets  Firefly III/a_New budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:44,08-01-2024 16:21:45,1.009s,PASSED
"click(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/button_Store new budget""))",Chrome 120.0.0.0,,,08-01-2024 16:21:45,08-01-2024 16:21:47,1.278s,PASSED
"verifyElementInViewport(findTestObject(""Object Repository/Create New Budget/Page_Create a new budget  Budgets  Firefly III/p_The name field is required""), 0)",Chrome 120.0.0.0,,,08-01-2024 16:21:47,08-01-2024 16:21:47,0.510s,PASSED
